Name,Assign,Attachments,Due,Label,Status
Send out email newsletter,,,,,Bi-Weekly
Check social media & respond to comments,,,,,Daily
Review and update Marketing Strategy Document,,,,,Annually
Send a member survey and/or NPS,,,,,Bi-Annually
Post flyers or posters locally,,,,,Quarterly
Finalize KPI spreadsheet by mid-month,,,,,Monthly
Look for strategic partners to share audiences with and create joint ventures,,,,,Quarterly
Publish at least one thing on social media (i.e. IG Stories),,,,,Daily
Search your main keywords on Google to see if you can show up in more places on the first page,,,,,Bi-Annually
Review annual performance and set goals for the new year,,,,,Annually
"Review, analyze, and provide feedback on supplier reports (i.e. SEO, PPC)",,,,,Monthly
Implement at least 3 new key projects from the Playbook,,,,,Quarterly
"Write, publish, and share one new blog post",,,,,Weekly
Publish on Craigslist/Kijiji/FB Marketplace/local equivalent,,,,,Monthly
Encourage customers to leave reviews on Google,,,,,Bi-Annually
Review messaging and positioning,,,,,Annually
Launch one new iteration to your website,,,,,Monthly
Decide on new/same sign-up incentive (if applicable),,,,,Monthly
Create a marketing plan for the new year,,,,,Annually
Review and update main industry directories,,,,,Bi-Annually
Work on weekly and/or monthly tasks,,,,,Daily
Analyze Google Analytics data,,,,,Monthly
Review analytics to spot insights on what's working,,,,,Bi-Annually
Review CRM & follow up with leads,,,,,Daily
"Do a ""Raise the Dead"" campaign",,,,,Bi-Annually
Review internal signage and add posters for Google Reviews in common areas,,,,,Quarterly
Continually update and find ways to improve this system,,,,,Daily
"Do a ""Winback"" campaign",,,,,Bi-Annually
Remind members of member referral program,,,,,Quarterly
