Name,Assign,Attachments,Due,Label,Status
"Do a ""Winback"" campaign",,,,,Bi-Annually
"Do a ""Raise the Dead"" campaign",,,,,Bi-Annually
Review internal signage and add posters for Google Reviews in common areas,,,,,Quarterly
Implement at least 3 new key projects from the Playbook,,,,,Quarterly
Work on weekly and/or monthly tasks,,,,,Daily
Analyze Google Analytics data,,,,,Monthly
Decide on new/same sign-up incentive (if applicable),,,,,Monthly
Review analytics to spot insights on what's working,,,,,Bi-Annually
Create a marketing plan for the new year,,,,,Annually
Review and update main industry directories,,,,,Bi-Annually
Encourage customers to leave reviews on Google,,,,,Bi-Annually
Continually update and find ways to improve this system,,,,,Daily
Review messaging and positioning,,,,,Annually
Search your main keywords on Google to see if you can show up in more places on the first page,,,,,Bi-Annually
Review annual performance and set goals for the new year,,,,,Annually
Review and update Marketing Strategy Document,,,,,Annually
Send a member survey and/or NPS,,,,,Bi-Annually
Look for strategic partners to share audiences with and create joint ventures,,,,,Quarterly
Post flyers or posters locally,,,,,Quarterly
Launch one new iteration to your website,,,,,Monthly
"Review, analyze, and provide feedback on supplier reports (i.e. SEO, PPC)",,,,,Monthly
Finalize KPI spreadsheet by mid-month,,,,,Monthly
Publish on Craigslist/Kijiji/FB Marketplace/local equivalent,,,,,Monthly
Review CRM & follow up with leads,,,,,Daily
Send out email newsletter,,,,,Bi-Weekly
Publish at least one thing on social media (i.e. IG Stories),,,,,Daily
Check social media & respond to comments,,,,,Daily
Remind members of member referral program,,,,,Quarterly
"Write, publish, and share one new blog post",,,,,Weekly
