,January,February,March,April,May,June,July,August,September,October,November,December,Total
2023 Revenue ,"$1,080,000.00","$1,080,000.00","$1,080,000.00","$1,080,000.00","$1,080,000.00","$1,080,000.00","$1,080,000.00","$1,080,000.00","$1,080,000.00","$1,080,000.00","$1,080,000.00","$1,080,000.00","$12,960,000.00"
2024 Target Revenue,"$1,440,000.00","$1,440,000.00","$1,440,000.00","$1,440,000.00","$1,440,000.00","$1,440,000.00","$1,440,000.00","$1,440,000.00","$1,440,000.00","$1,440,000.00","$1,440,000.00","$1,440,000.00","$17,280,000.00"
2024 Actual Revenue,"$1,200,000.00","$1,200,000.00","$1,200,000.00","$1,200,000.00","$1,200,000.00","$1,200,000.00","$1,200,000.00","$1,200,000.00","$1,200,000.00","$1,200,000.00","$1,200,000.00","$1,200,000.00","$14,400,000.00"
,,,,,,,,,,,,,
Light blue boxes = formulas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CAMPAIGNS,IE: Parade of Homes,,,,,Annual Realtor Event,,,,Award Campaign,,,
Notes,i.e. SEO audit this month,,,,,,Tested a new ad,,,,,,
,,,,,,,,,,,,,
LEADS,,,,,,,,,,,,,
New Leads,20,20,20,40,40,40,20,20,20,20,20,20,300
% of leads scheduling consultations,40%,35%,35%,20%,23%,38%,70%,45%,50%,50%,50%,50%,
Sales Consultations Scheduled,8,7,7,8,9,15,14,9,10,10,10,10,117
% of leads showing up,100%,,,,,,,,,,,,
Sales Consultations,8,5,6,8,8,13,11,7,7,7,8,9,97
% of leads signing ,13%,,,,,,,,,,,,
Pre-Construction Services Signed,1,0,2,1,1,3,0,2,0,1,1,0,12
$ in Pre-Construction Contracts Signed,"$1,500,000",$0,"$6,000,000","$2,500,000","$1,500,000","$4,500,000",$0,"$3,500,000",$0,"$1,500,000","$2,000,000",$0,"$23,000,000"
% of design contracts converted,100%,,,,,,,,,,,,
Won Deals,1,0,0,2,1,1,3,0,2,0,1,1,12
$ in Contracts Signed,"1,500,000",0,0,"2,750,000","2,000,000","1,250,000","4,500,000",0,"3,250,000",0,"4,000,000","3,500,000","$22,750,000"
% of leads closed,5.0%,,,,,,,,,,,,
Total Leads in Communication,30,,,,,,,,,,,,30
Total $ in Pipeline,"$10,000,000",$20,$25,$30,$30,$35,$50,$60,$40,$50,$50,$90,"$10,000,480"
,,,,,,,,,,,,,
ACQUISITION COSTS,,,,,,,,,,,,,
